iter	Passed	Remaining
869	1832	273
870	1834	271
871	1835	269
872	1836	267
873	1838	265
874	1839	262
875	1842	260
876	1844	258
877	1846	256
878	1847	254
879	1849	252
880	1850	249
881	1852	247
882	1854	245
883	1855	243
884	1857	241
885	1859	239
886	1861	237
887	1862	234
888	1863	232
889	1865	230
890	1866	228
891	1868	226
892	1869	224
893	1871	221
894	1874	219
895	1876	217
896	1877	215
897	1878	213
898	1880	211
899	1881	209
900	1883	206
901	1884	204
902	1885	202
903	1888	200
904	1890	198
905	1892	196
906	1893	194
907	1895	192
908	1897	189
909	1898	187
910	1900	185
911	1902	183
912	1904	181
913	1906	179
914	1907	177
915	1909	175
916	1910	172
917	1911	170
918	1913	168
919	1914	166
920	1916	164
921	1919	162
922	1920	160
923	1922	158
924	1923	155
925	1924	153
926	1926	151
927	1927	149
928	1929	147
929	1930	145
930	1933	143
931	1935	141
932	1936	139
933	1938	136
934	1939	134
935	1940	132
936	1942	130
937	1943	128
938	1945	126
939	1947	124
940	1949	122
941	1950	120
942	1952	117
943	1953	115
944	1954	113
945	1956	111
946	1957	109
947	1958	107
948	1960	105
949	1963	103
950	1964	101
951	1966	99
952	1967	97
953	1968	94
954	1970	92
955	1971	90
956	1972	88
957	1974	86
958	1975	84
959	1978	82
960	1980	80
961	1982	78
962	1983	76
963	1985	74
964	1986	72
965	1988	69
966	1989	67
967	1992	65
968	1994	63
969	1995	61
970	1997	59
971	1998	57
972	2000	55
973	2001	53
974	2002	51
975	2004	49
976	2008	47
977	2009	45
978	2011	43
979	2012	41
980	2013	39
981	2015	36
982	2017	34
983	2018	32
984	2019	30
985	2022	28
986	2024	26
987	2025	24
988	2027	22
989	2028	20
990	2029	18
991	2031	16
992	2032	14
993	2034	12
994	2036	10
995	2038	8
996	2039	6
997	2040	4
998	2042	2
999	2043	0
